,principal component 1,principal component 2,artists
233,2.568758515,1.11826763,Frank Sinatra
234,2.681629963,0.738589835,Frank Sinatra
235,1.303338266,-0.257767741,Johnny Cash
236,0.265724813,-0.570441645,Elvis Presley
237,2.778146096,0.79869143,Frank Sinatra
238,-0.146699028,-0.810272406,Elvis Presley
239,3.523493902,1.127283465,Frank Sinatra
240,3.290067035,-0.819412604,Elvis Presley
241,1.327195312,-1.146591108,Frank Sinatra
242,0.714524509,-0.274366478,Bob Dylan
243,4.162750814,0.536236524,Frank Sinatra
244,-1.088065545,-0.507070973,The Beach Boys
245,2.50158333,-1.045407321,Bob Dylan
246,-1.644723309,-0.879582498,The Beach Boys
247,2.073993358,-1.405820192,Bob Dylan
248,-1.970003089,-1.099348722,The Beach Boys
249,1.37443355,1.917719411,Bob Dylan
250,0.951126318,0.251359869,Bob Dylan
251,1.267176599,-1.243872054,Elvis Presley
252,1.463373146,-1.262225609,Bob Dylan
253,-1.215791876,-1.582605862,The Beach Boys
254,1.489446125,0.159542068,Bob Dylan
255,-2.280851185,1.423544046,The Beach Boys
256,-2.286568483,-1.375637843,The Rolling Stones
257,-1.022884524,-0.829790378,Johnny Cash
258,-2.002161536,0.769188603,The Beach Boys
259,0.892738005,1.186326476,The Beach Boys
260,-0.267721479,-2.17204246,Johnny Cash
261,-0.141672342,-1.877349968,Elvis Presley
262,-1.886541251,0.798036108,The Beach Boys
263,1.722165429,-1.255929322,Bob Dylan
264,0.086872896,-0.681736357,Elvis Presley
265,0.704834758,-0.667956325,Frank Sinatra
266,-0.033538776,-1.163961814,Johnny Cash
267,-0.963107444,1.143191382,The Rolling Stones
268,-0.635610156,-0.765052967,Bob Dylan
269,-0.953199336,-1.281479282,The Rolling Stones
270,0.601083895,-1.372403205,Bob Dylan
271,-1.383117449,-0.179452824,The Beach Boys
272,3.326278298,0.372003034,Frank Sinatra
273,-1.897352065,2.523986695,The Rolling Stones
274,-0.780032494,2.067252396,The Beach Boys
275,-1.704041847,-1.267139143,The Rolling Stones
276,-1.114595643,0.692102496,The Beach Boys
277,2.054198987,0.747752642,Bob Dylan
278,0.704742107,1.045116359,Bob Dylan
279,-1.277147446,0.223615607,Bob Dylan
280,-1.765467613,-0.793321633,The Beach Boys
281,-0.921990202,-0.145589651,Bob Dylan
282,-1.492331966,-0.020580366,The Rolling Stones
