principal component 1,principal component 2,year,popularity
1.285664274,-1.578676606,1966,62
-0.286922915,0.001184454,1966,62
-0.633078329,-1.124211304,1966,61
-1.308897406,0.852338809,1966,61
0.32664737,-0.851662538,1966,60
2.543150944,0.374634399,1966,61
-2.028640915,-0.462459011,1966,59
-1.009690519,1.838344856,1966,58
-1.435896254,1.924658627,1966,55
0.181934765,-0.319021604,1966,53
1.544094004,2.102060811,1967,70
0.221811206,-0.453516482,1967,69
-0.595707178,-0.916360423,1967,66
1.147941366,2.775691243,1967,67
-0.184826057,-0.312720167,1967,67
-0.20720936,-0.077223561,1967,67
-0.485870483,0.780327029,1967,65
-1.20372892,-0.374359676,1967,66
-1.182721108,1.978995784,1967,65
1.735515952,-1.746097392,1967,64
2.583720845,-0.509140329,1967,62
-0.415942897,-1.587074568,1967,59
0.444374558,1.262179195,1967,59
0.1682154,-0.793629653,1967,59
-0.473621277,-0.119252568,1967,58
2.00705291,-0.43243592,1967,58
-0.346565574,-0.647215312,1967,54
3.021539078,-1.431066579,1968,75
-1.832927679,-0.878045865,1968,71
-1.05662267,-0.039159601,1968,70
-1.677970961,1.35061992,1968,66
0.935746467,-1.762765861,1968,64
0.494279632,1.009743148,1968,62
-0.59233336,5.727242401,1968,63
0.719503599,-0.730871709,1968,58
0.512224447,0.768112627,1968,58
0.415252598,1.821614869,1968,56
-1.396817241,0.850337841,1968,54
3.846513,-0.828273169,1968,56
1.184994604,-0.432784177,1968,55
-0.668327015,-0.167539235,1968,54
3.513639421,-0.80489911,1968,54
-1.12713762,1.449037565,1968,54
-0.030696614,0.475321466,1969,83
1.261135659,1.154039792,1969,78
1.06693571,-0.193405968,1969,71
-1.069263275,0.913648729,1969,68
2.389480354,-0.716315521,1969,64
-0.522339575,-1.246678881,1969,62
-0.239006233,-0.968724537,1969,62
0.267693599,0.487553806,1969,61
0.646375433,-1.791844205,1969,59
2.818403764,-0.295834362,1969,59
1.450154663,0.651196976,1969,59
-1.284454582,-0.242315746,1969,58
3.765963583,0.225010465,1969,57
0.604000817,1.277545898,1969,57
-1.517072446,-0.974352342,1969,55
-0.821663588,4.286552337,1969,55
0.956166421,-0.608491544,1970,78
0.454859823,-0.390251162,1970,66
0.163519715,0.149987812,1970,65
1.80960583,-0.212309664,1970,64
-1.168093584,2.428830922,1973,68
1.139483771,-1.704700793,1973,68
-1.46705412,-0.115872698,1973,66
-0.553675614,0.518714709,1973,67
-0.993657364,-0.316025366,1973,63
-0.923699312,0.81270208,2000,76
-1.804244095,0.210693692,2000,74
-2.585822699,-0.247712068,2000,67
-2.132181671,-0.566296046,2000,64
-0.864176468,-0.737133517,1963,48
-1.75481579,0.251217298,1963,49
-1.342022414,0.319442012,1963,48
-1.202925281,-1.099123214,1963,47
1.825943287,-0.74695938,1963,48
-0.267253017,-0.982480758,1963,48
-0.272533356,-0.717565682,1963,48
-1.824807856,0.639133686,1963,47
-1.731048041,0.261851136,1963,45
-2.125619673,-0.831968995,1964,48
0.107537588,0.803833758,1964,49
-1.042205524,0.48951362,1964,47
-2.157272562,-0.626821218,1964,46
0.833822838,-0.978513844,1964,46
0.054693361,-1.628193699,1964,46
-1.96437347,0.704354077,1964,46
-0.686524678,-1.553348934,1964,45
-1.598976988,0.661393293,1964,45
-1.128929581,-0.718925395,1964,45
-1.49131022,-0.978038474,1964,45
0.152526341,-0.948771157,1964,44
-0.513608745,-1.521201253,1965,53
-1.34682289,0.037756797,1965,50
-0.317124364,-1.524733448,1965,50
-0.851454048,-0.859999544,1965,49
-1.635314109,0.036593968,1965,48
-2.422500373,0.822507043,1965,49
-0.042872179,0.374846111,1966,52
-0.492998672,0.852373806,1966,51
1.415674884,-2.202213769,1967,55
-0.163620886,2.065187567,1967,53
0.319781612,-1.13245315,1967,53
2.986134356,0.830759702,1967,52
-2.30782321,1.630395473,1967,52
1.578601515,0.50503107,1967,51
-1.63317606,1.492616645,1967,51
0.74632802,2.079225961,1967,50
-2.079369617,3.022190618,1967,49
-0.631379181,1.231055722,1967,48
-0.193690161,-1.334673243,1968,53
-0.171117726,0.553815085,1968,52
-0.62235566,-1.026220575,1968,51
0.201936877,1.765483712,1968,52
-0.201913401,-1.878268473,1968,51
3.792924002,0.899834809,1968,51
2.56941609,-0.140814912,1968,51
0.439470362,0.201243816,1968,51
-1.404894455,-0.435309649,1968,50
0.597645546,0.272159942,1968,50
0.659536997,1.694428356,1968,50
3.816054075,2.580298264,1968,51
-0.395065635,0.504120959,1968,49
-0.87849306,0.446583909,1969,52
-0.092253453,-0.407313816,1969,50
-1.454140967,1.01895001,1969,52
-1.37236917,-0.854908791,1970,54
-0.698940524,1.35725433,1970,53
-0.725046779,1.500164664,1970,52
-0.553121537,-0.292045542,1973,60
-1.557843256,-0.514322172,2000,63
-2.456230583,1.006642877,2000,63
2.664518697,-1.102066959,2000,61
-1.495945025,-0.032616255,2000,62
-0.923494854,0.044053935,2000,62
0.411641825,-1.506738578,2000,59
-0.480252749,0.520761338,1967,46
-1.464297166,-0.768895787,1967,46
-1.941212673,3.62838552,1967,46
-1.486588331,-1.136567283,1967,47
0.438300959,-0.778425576,1967,49
-0.915747794,-0.25552076,1967,45
0.791090961,2.3225676,1967,43
-1.236404075,-1.311465823,1967,42
0.697296558,-0.538784002,1967,42
2.761122305,5.516234394,1968,47
-0.661244128,0.061956338,1969,47
-0.098805275,0.205767432,1969,45
-0.250938993,1.835359276,1969,43
0.431519208,-0.197914139,1970,51
-0.749491593,-1.320948418,1970,49
-2.828235152,1.363056665,1970,48
0.973477528,1.50396783,1970,48
-1.715517518,0.082053915,1973,49
-0.212512659,2.727353854,1988,51
0.504877705,-1.455238986,1988,52
0.707650779,-0.650529955,2000,60
-1.778655441,-0.378554367,2000,58
-2.295463125,-0.665997404,2000,59
-1.188081306,-0.191201209,2000,58
-1.88885646,-0.326864981,2000,57
-2.755170872,0.095473974,2000,57
-2.750577405,-0.773761344,2000,58
-2.146988055,-1.356140881,2000,59
-2.083825314,0.093351506,2000,58
-0.94933877,0.26465663,2000,59
0.155000117,0.977888143,1967,44
2.156272446,-0.491390833,1967,42
-0.122971058,-0.383243448,1967,41
0.655173257,-0.672127219,1967,42
0.124730244,-1.104801347,1967,44
-1.773004682,-0.457654304,1967,40
-1.305223547,-1.270371481,1967,41
-1.511046733,1.242663299,1967,40
0.143045711,1.143319658,1967,40
2.176356007,-0.427698546,1967,41
-2.777207554,0.561098603,1967,40
-1.608058926,1.976140804,1969,44
0.727655117,0.927097227,1970,47
